,0
No. of nodes,4975.0
no. of links,172052.0
No. of connected components,1.0
No. of isolated nodes,0.0
Average path length,2.42
Average degree,69.167
Average clustering coefficient,0.182
Network diameter,5.0
Network radius,3.0
Centralization,0.24694957110980714
