,Node degree,Betweenness centrality,Eigenvector centrality,Closeness centrality,Betweenness/Node degree
ABLIM3,7,7.303448139352544e-06,0.0019559308556889054,0.3764910248986682,1.0433497341932205e-06
ACTC1,52,0.0003006276443422953,0.01156839409356869,0.41303519247871934,5.781300852736449e-06
ERGIC1,16,7.075678664337929e-05,0.00465481987503143,0.3951622705725052,4.422299165211205e-06
ERGIC3,63,0.003335547017486928,0.0023888507682000007,0.3789485954073901,5.2945190753760764e-05
EGF,16,5.8588647193682146e-05,0.0026097488333611876,0.37124586045449354,3.661790449605134e-06
FNBP1,19,4.6973500464233754e-05,0.004033644044259285,0.40086313193588163,2.472289498117566e-06
PML,142,0.001692730393287448,0.027768459434377914,0.4710911462106941,1.1920636572446817e-05
YTHDC1,31,5.980367682689318e-05,0.006983004887246101,0.3920173640419631,1.929150865383651e-06
EXOSC2,58,0.000607345910572661,0.006727813497834266,0.38990165507315905,1.0471481216770018e-05
KHSRP,60,0.0002998738082487771,0.024049438890822273,0.43696236559139784,4.997896804146285e-06
CCND2,55,0.00015558671126491593,0.010671030153226924,0.4045041682219734,2.8288492957257443e-06
SERTAD1,21,5.443742411787379e-05,0.0036036015252868337,0.37666550805236937,2.5922582913273233e-06
COG1,16,4.5290926346361376e-05,0.0027523880840568116,0.3862421290245931,2.830682896647586e-06
COG4,33,0.0002752349769797763,0.0048536283853813965,0.4014571499135589,8.340453847872009e-06
COG2,20,8.386917903874667e-05,0.002338134794023727,0.3799672744273025,4.193458951937334e-06
COG5,21,8.867117901151552e-05,0.003372868483500875,0.39069823338541043,4.222437095786453e-06
COG7,22,9.113258572908934e-05,0.003736878426814202,0.3918756027000964,4.142390260413152e-06
RIN1,21,4.792326902854242e-05,0.004103924621574907,0.3891548958582715,2.2820604299305915e-06
RALGDS,13,2.615089758142006e-05,0.0023993450286647067,0.3765782462643345,2.0116075062630815e-06
RASIP1,7,8.614783350285367e-06,0.0009773257709946585,0.3488571735164717,1.2306833357550525e-06
RGL2,11,1.4054151769017133e-05,0.0012399851411682785,0.35199220441749673,1.2776501608197393e-06
PAK1,50,0.00031537106451370904,0.00900144403909068,0.4295151274937244,6.307421290274181e-06
AKTIP,14,1.2658650315346437e-05,0.0032432791633150273,0.3843243882255586,9.041893082390312e-07
HSPH1,58,0.000138440426344356,0.018282781350366775,0.4335244699293239,2.3869039024888963e-06
PIK3CA,52,0.0003809169865657102,0.0087124579344414,0.42535653539186186,7.325326664725197e-06
AKAP8,39,5.488979181577704e-05,0.016345314730803126,0.4257464641173389,1.4074305593788984e-06
E2F1,71,0.00033921489460002644,0.017136580550085146,0.44662728396757795,4.777674571831358e-06
PHB,142,0.002904831097405537,0.03368271205901215,0.4593754415712873,2.0456557023982653e-05
JUN,149,0.001997522326995699,0.025553113245976478,0.4641633352370074,1.3406190114065094e-05
RPL11,125,0.0003211147255035728,0.05044838435952051,0.4598953175838167,2.5689178040285826e-06
RPL5,147,0.0005135428859279763,0.05537448777057221,0.46113475177304963,3.4934890199182063e-06
RGS2,25,8.517994525566998e-05,0.004349307642945457,0.39074519230769234,3.407197810226799e-06
TXNDC17,11,7.837751897425482e-06,0.0012321803398048642,0.34688433632095605,7.12522899765953e-07
AJAP1,2,0.0,0.0009372639029584241,0.3566257130320316,0.0
CA9,18,4.59049750465e-05,0.004516394394773528,0.38962128475551294,2.550276391472222e-06
IL6,4,0.0006169322669825628,0.00013071102111007806,0.30941277243742266,0.0001542330667456407
IL6R,4,6.394279622318796e-05,0.0004812719814239039,0.3385400395709674,1.598569905579699e-05
UPF1,100,0.0006689950531758553,0.03225395207342681,0.44984087449840876,6.689950531758553e-06
UPF2,42,0.0001510515256071346,0.00836602489021252,0.41251110265194774,3.596464895407967e-06
UPF3A,19,5.4792763848998925e-05,0.003204786049558839,0.38985489866890516,2.8838296762631015e-06
NR3C1,124,0.0012335022991423817,0.022939347121475145,0.45821000704721637,9.94759918663211e-06
LIMK1,26,7.464755396494243e-05,0.005018678331947678,0.4007149020091212,2.8710597678824014e-06
MYOD1,48,0.00013340142543136386,0.009263519435931731,0.41209278742552924,2.779196363153414e-06
