,0
No. of nodes,66.0
no. of links,135.0
No. of connected components,14.0
No. of isolated nodes,0.0
Average path length,2.671
Average degree,4.091
Average clustering coefficient,0.114
Network diameter,7.0
Network radius,1.0
Centralization,0.17307692307692307
