,Node degree,Betweenness centrality,Eigenvector centrality,Closeness centrality,Betweenness/Node degree
SIRPA,73,0.000562864938437038,0.006441326997097339,0.4436713941664437,7.710478608726548e-06
CHD3,452,0.001581371563783092,0.06000860965146073,0.4958133971291866,3.498609654387372e-06
CHD4,442,0.0015132521016830572,0.06116054610367475,0.49566517189835574,3.423647288875695e-06
ERGIC3,80,0.0014510550084058929,0.001888911949165004,0.39360607739178605,1.8138187605073662e-05
LARP7,582,0.002855948295623246,0.07142602448112649,0.5104679802955665,4.907127655710045e-06
RNF31,223,0.0005689640565968829,0.02734705913237676,0.4740303059182312,2.55140832554656e-06
TNF,200,0.000726701421065973,0.02378374720037738,0.4613672201094518,3.6335071053298646e-06
UBE2I,319,0.002201883909828251,0.02741513844824737,0.4896633195510927,6.902457397580724e-06
USP15,167,0.0006832738433087496,0.018287960918777744,0.47493554855342307,4.091460139573351e-06
FGFR1OP,68,0.00025642991764580843,0.00345797524602765,0.416443402545211,3.7710282006736536e-06
CEP164,40,4.3477691774846476e-05,0.0031266020253815146,0.4067713444553484,1.0869422943711618e-06
RABL2B,3,5.579272912417562e-07,0.0003498763209633281,0.3514697569248163,1.8597576374725208e-07
RPL22,166,6.685036420208541e-05,0.03434881132811929,0.4659921304103429,4.027130373619603e-07
RIOK1,341,0.0006125747400250517,0.04955170526882919,0.4866451423539771,1.7964068622435535e-06
BTK,94,0.00035915984314552357,0.009034733432983258,0.4606408594184108,3.820849395165144e-06
ZRANB1,23,4.25163871376257e-05,0.002574621380540301,0.4052468632882516,1.8485385712011174e-06
ZUFSP,110,0.0003215358624425995,0.010881079326104387,0.4333507579717721,2.923053294932723e-06
LGALS3BP,115,0.0002651156755517292,0.01714401067106721,0.4603850425768234,2.305353700449819e-06
CISH,34,8.76091800311238e-05,0.002486681773912668,0.3938242280285036,2.5767405891507003e-06
PLCG1,180,0.0009688797509184289,0.011501653508001692,0.4660794602698651,5.382665282880161e-06
MGMT,79,0.0006509542952323993,0.010634983954700257,0.44268422926308293,8.23992778775189e-06
DTL,51,2.5802607711710972e-05,0.00657722218424923,0.41815889029003783,5.059334845433524e-07
MAP1LC3B,254,0.0007125989348981033,0.03335523169993871,0.48235065942591154,2.8055076177090683e-06
SQSTM1,266,0.0015624347463389639,0.028889600823467882,0.4959617110379898,5.873814835860766e-06
FOS,174,0.0008419276898911143,0.014874322519661502,0.4768021472392638,4.838664884431691e-06
DAPK1,83,0.00021455846208652307,0.008031321107390197,0.45370792666240994,2.5850417118858203e-06
ESR2,1280,0.03838148836317885,0.08872213177872955,0.5659346910911367,2.9985537783733478e-05
MUC1,63,0.0014250262332845597,0.00644328779058619,0.44347360912981454,2.2619464020389835e-05
MPO,19,0.00023556587917672822,0.0015830430282262856,0.3942300071332329,1.2398204167196222e-05
CBL,212,0.0008940821460221431,0.019241691463996204,0.4857421875,4.217368613311995e-06
MARCH7,21,5.2548100898359924e-06,0.0024423351307458646,0.39807923169267706,2.50229051896952e-07
TRIM46,19,3.0808091247327755e-05,0.0020194225884284356,0.40757128810226156,1.6214784867014608e-06
BAG6,181,0.0011863831733931582,0.01683137522833197,0.478775628068149,6.554603167918001e-06
LZTS2,118,0.0005618791185742426,0.008653038621751392,0.45974674184305386,4.7616874455444285e-06
MAGED2,76,5.0102664880663766e-05,0.014090843539240078,0.45911020860254753,6.592455905350495e-07
VCPIP1,33,4.221092890206788e-05,0.004355890891252567,0.4263672209840562,1.2791190576384205e-06
TRIM32,61,0.00011110312969669652,0.006648468566074814,0.43551352771210927,1.8213627819130577e-06
TRIM47,16,1.3165273032076469e-05,0.002610163534986561,0.4151226840260391,8.228295645047793e-07
NOD2,36,1.6918739574366283e-05,0.0035598209552502804,0.40389768574908647,4.699649881768412e-07
PPP1R10,33,1.732452832796363e-05,0.005467973295362331,0.43437254388263036,5.249857069079887e-07
HEXIM1,579,0.0030984779138361015,0.07077915062366263,0.509840098400984,5.351429902998448e-06
MEPCE,494,0.0021072554195070772,0.0636278228923711,0.49620909816440545,4.265699229771412e-06
BTRC,253,0.0015993582229930883,0.022851827420391147,0.4895187481547092,6.32157400392525e-06
FBXW11,258,0.0013108492058995576,0.02368165436319359,0.4791907514450867,5.080810875579681e-06
YWHAQ,411,0.002763719906614058,0.04814382462775473,0.5062595419847328,6.724379334827392e-06
CSNK1A1,226,0.0008650973038709937,0.027034816372086205,0.491501976284585,3.827864176420326e-06
CSNK2A2,182,0.001012916111334036,0.019535024677718386,0.4699546485260771,5.5654731391979994e-06
PFKP,95,0.00014578424605537203,0.01549603718918614,0.4659921304103429,1.5345710111091792e-06
UHRF1,63,5.174000559149252e-05,0.009046225811242859,0.4444643016709856,8.212699300236908e-07
TRIM11,52,6.70017775640401e-05,0.003182584265514806,0.39520101700301924,1.2884957223853864e-06
TRIM24,54,0.00010041979229677294,0.006259747255108354,0.4351706036745407,1.859625783273573e-06
RNF123,273,0.0033093271374831155,0.024856107460524555,0.47534403669724773,1.2122077426678079e-05
IGF1R,131,0.000738310405945453,0.014684825129184056,0.47748872036094847,5.6359572972935345e-06
USP12,18,1.4556614641659278e-05,0.0019531280919699375,0.40148518847364595,8.087008134255154e-07
REST,188,0.00022912972891063338,0.029795857157306593,0.45725317153888584,1.2187751537799647e-06
PPT1,186,0.0002110252725110399,0.026698517197158975,0.4635601118359739,1.134544475865806e-06
HECTD1,70,0.0001561610564710522,0.008123104059870106,0.4546617915904936,2.2308722353007457e-06
RNF181,48,2.9449049244276075e-05,0.004171003439244845,0.38895839849859243,6.135218592557516e-07
PDGFRB,97,0.00022442541875838725,0.007205515790573622,0.44319700614808877,2.313664110911209e-06
MATK,23,9.831859873804141e-06,0.0035810705846825133,0.4152266466316053,4.2747216842626703e-07
GJA1,31,5.171571216110328e-05,0.0023803382072859545,0.3986535224813657,1.6682487793904284e-06
RPS5,179,9.041879476672087e-05,0.03678645024846211,0.4671738517892364,5.051329316576585e-07
SNAI1,376,0.001248470456391884,0.05110047028304985,0.49330556382029156,3.3204001499784146e-06
MYOF,26,1.053768498482805e-05,0.003859782338261437,0.41009151620084094,4.052955763395404e-07
AGR2,572,0.004148233813499263,0.06351720278892782,0.5102585145670907,7.252157016607103e-06
LZTR1,45,8.62042775666863e-05,0.003962923331471522,0.41526131240607783,1.915650612593029e-06
CD9,15,1.2379620430329568e-05,0.0013923844447414388,0.390976261594089,8.253080286886379e-07
CDC42,212,0.001695678142924983,0.016731065563193582,0.4856473345049795,7.99848180624992e-06
CUL3,792,0.008441710631697633,0.08609642166275486,0.5317511225144324,1.065872554507277e-05
MITD1,12,8.0671326965654e-06,0.0008331861382422331,0.36806274974100933,6.722610580471166e-07
PURA,45,2.637833198499038e-05,0.007981902426166226,0.43471421080230727,5.861851552220084e-07
RAB23,7,2.5828654455224162e-06,0.000573794743674609,0.36330436052881454,3.6898077793177375e-07
SH3GL1,66,0.0002292863284882116,0.0057019102415230526,0.437121012391247,3.4740352801244183e-06
SYNCRIP,274,0.0012243867665024505,0.041123569602555594,0.49561578318055,4.468564841249819e-06
UPF1,174,0.0004926040088690179,0.026749670888485948,0.47588978185993114,2.8310575222357354e-06
YBX3,112,0.00013734720738369055,0.020745382310568983,0.4692452830188679,1.2263143516400942e-06
ZCCHC3,34,2.6755812774816855e-05,0.006437718243147584,0.43448637316561844,7.869356698475546e-07
SAMSN1,13,2.2503660446753065e-06,0.002028635058791893,0.38738317757009344,1.7310508035963895e-07
IGF2R,44,7.59159727933588e-05,0.006265494897814203,0.45091106880609194,1.725363018030882e-06
ROCK1,57,0.00012354519261863233,0.005812614942596626,0.437121012391247,2.1674595196251287e-06
SEPT5,18,1.1217840229704423e-05,0.001355691491540065,0.3960191082802548,6.232133460946902e-07
EHD1,52,0.00011331539634532385,0.0052716509219935485,0.43866302143046126,2.179142237410074e-06
ABCC1,39,3.8092594275826276e-05,0.0055064783300356095,0.4395934600088378,9.76733186559648e-07
MPP1,29,2.1413392738811094e-05,0.003356031525953122,0.4113123294467874,7.383928530624515e-07
ATP7A,17,3.2678432314268254e-05,0.0014864202688550686,0.39614526919401083,1.9222607243687207e-06
TRPV2,3,0.0,0.00037271714705001057,0.35304137979984385,0.0
BAIAP2,67,0.0001294443522658221,0.006744061308086948,0.4673055242390079,1.9320052576988375e-06
SYTL4,10,4.136547241892097e-06,0.0005967634760231244,0.3615351068469254,4.136547241892097e-07
SLC12A2,31,3.732570425543294e-05,0.00418102762447602,0.433313006359439,1.2040549759817079e-06
RICTOR,93,0.00021481383650136924,0.012307369728785378,0.46656036019135166,2.3098261989394543e-06
PLCD1,11,2.3471359119107142e-05,0.00092161411761342,0.384063006717628,2.133759919918831e-06
SPTA1,52,5.6517714083431737e-05,0.004957985752811963,0.42313908974904296,1.0868791169890719e-06
ITGA5,30,4.419769688855316e-05,0.0035155516836040865,0.4142238507661559,1.473256562951772e-06
MARK2,86,0.0001853309194858864,0.009614144067365694,0.46042765898361565,2.1550106916963535e-06
PDLIM4,7,5.02597095502329e-06,0.000858972814276946,0.37191565724540154,7.179958507176128e-07
LNPEP,23,2.318682708315149e-05,0.0018715299185517746,0.3936683814800158,1.0081229166587604e-06
PI4KA,60,0.000362856710126893,0.005829548790830449,0.4483908771297214,6.047611835448217e-06
NOTCH1,164,0.0007691333504399206,0.015982268851964628,0.48104448742746614,4.689837502682443e-06
F11R,17,2.1197349660072937e-05,0.001626191217326121,0.39807923169267706,1.246902921180761e-06
ROR2,37,6.381308500054615e-05,0.0029952077839867047,0.4234633066575856,1.7246779729877337e-06
LSR,34,0.00010704684723705902,0.003475407409280286,0.4284975878704342,3.1484366834429127e-06
STX3,42,9.736344537110814e-05,0.0028260121563290826,0.41693210393964797,2.31817727074067e-06
SBF1,29,7.720531932166784e-05,0.003506023497354531,0.4312841411601491,2.662252390402339e-06
HBZ,23,3.794824689766966e-05,0.002745351659633052,0.41053152855727965,1.6499237781595502e-06
HSP90AB2P,39,2.3636777679533877e-05,0.009795107412307229,0.4492413294797688,6.060712225521507e-07
MARK3,62,0.00012057805444510535,0.007054776965243075,0.45009501402588004,1.9448073297597638e-06
ROCK2,22,2.015710073533815e-05,0.003304661345803526,0.42034986901039467,9.162318516062794e-07
MINK1,27,1.645241094702902e-05,0.003941218601594478,0.4364689364689365,6.093485535936675e-07
KIAA1522,18,1.4855298889982469e-05,0.001981122738535136,0.41260887598506846,8.252943827768039e-07
SPRY4,11,1.4627663467885433e-06,0.0010442761784649952,0.3818516812528789,1.329787587989585e-07
LLGL1,42,6.247825121307983e-05,0.006139023510807754,0.44993215739484393,1.487577409835234e-06
HEPH,4,1.7604996656211658e-07,0.0005918358905968079,0.3612987578993245,4.4012491640529145e-08
STEAP3,27,7.993643562786634e-05,0.001386673596872919,0.3917152307449992,2.9606087269580127e-06
